Timestamp,Do you agree to participate in this research?,"A video tutorial for User Evaluation: 
https://www.youtube.com/watch?v=0MkXjz92vcc
Have you watched it?",What is your age range?,"Are you aware of any visual difficulties you may have? If so, please select the corresponding option(s):","What is your most relevant academic title/function? If more than one option applies, choose the one you consider the most appropriate.",What is your main field of study?,Indicate the level of prior knowledge in the following areas: [Data Visualization],Indicate the level of prior knowledge in the following areas: [Human-Computer Interaction],Indicate the level of prior knowledge in the following areas: [Graphs/Networks],Please add the time now to indicate when you started answering the quiz:,Usually students from the same grade (same year) interact more with themselves than others. Can you find the merge of grade 3 (classes 3A and 3B)?,Indicate a timeslice where a teacher connects to 4 other teachers:,"In the ""Global View"", observe the community at position (D, 7). This community is composed mainly of students from the following class:","The ""Global View"" community (J, 3) is made up of the teacher and students from the class 2B. In the next instant of time (4), what happens to this community?","At the ""Global view"" click at the community at position (B, 6). Now explore the ""Node-link Diagram"" view of this community. How many nodes that belong to grade 3B are in the community at the position (B, 6)?","What is the ID of the student from class 1A that is present in the community at the position (D, 5)?","How many connections (edges) does the node from class 1B have in the community at the position (H, 6)?",Looking at the communities at time slices 5 and 6 can you distinguish that these time slices approximately comprise the lunch break?,"There is a student from class 5B who is not active during the second part of the day (after the lunch break, between timeslices 7 and 10). Can you find the ID of this student?",There is a class without any teacher for two consecutive timeslices before lunch. Which class is that and in which timeslices?,Is there any pattern among the classes and grades during the lunch break (time slices 5 and 6)?  ,"Find the teacher that interacts with students of three different classes (4A, 5A, 5B) before lunch break.","Based on the school network presented, do you think it is possible to find other patterns besides those previously mentioned? If so, describe any that you consider relevant and say which part of the visualization helped you to discover it (Optional):",The system is intuitive and easy to use.,The system is useful.,The system is fast (interactions work in a satisfactory time).,"Rate: [The ""Global View"" is useful and helped to analyze the network.]","Rate: [The ""Node-link diagram"" view is useful and helped to analyze the network.]","In your opinion, what are the most useful visual features offered by the system? Why?",What other visual features do you think could be useful if incorporated into the system? Why?,Do you have any final comments? (Optional),Please add the time now to indicate when you finished answering the quiz:,"Rate: [The doughnut chart representing attributes of nodes of each community at the ""Global view"" is useful and helped to analyze the network.]","Rate: [The node selection functionality from the ""Node-link diagram"" that highlights node's activity at the ""Global view"" is useful and helped to analyze the network.]",time delta (minutes),Column 35
3/31/2025 11:37:24,I voluntarily accept to participate in the research mentioned above.,Yes,Between 35 and 44 years old,I am not aware of any,I am doing my PhD,Informatics,Basic,Intermediate,None,11:16:00 AM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,I can not tell,1,,I could not find it,"teacher for students of class 4B, timeslices 1 and 2",More interactive between different grades,1668,,I disagree,I agree,I can't say,I agree,I agree,Using different colors for each entity,"Different shapes or pattern such as lines or dots, etc. ",The tutorial video would have been more helpful if it explained the systems based on the quiz that presented in the survey. ,11:37:00 AM,I agree,I agree,21,
3/31/2025 12:34:24,I voluntarily accept to participate in the research mentioned above.,Yes,Between 18 and 24 years old,I am not aware of any,I am doing my Bachelor's Degree,Computer Science,Basic,Basic,Basic,12:03:00 PM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,1768,1,,1428,"teacher for students of class 4B, timeslices 1 and 2","yes, during the lunch break student stick to the same/close age group. 5a goes with 5b, could be a few students from grade 4",1668,"yes, it's easy to analyze network and other patterns can be found. that it's usually the same teacher with the same class before and after the lunch break. The functionality to select a node and see where it appeared in the global view helped to discover",I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,global view with the highlight,"maybe if you need to compare 2 or more nodes, you could choose a few at a time?",,12:34:00 PM,I strongly agree,I strongly agree,31,
3/31/2025 14:00:28,I voluntarily accept to participate in the research mentioned above.,Yes,Between 18 and 24 years old,I am not aware of any,I am doing my Bachelor's Degree,Computer Science,None,Basic,Basic,1:38:00 PM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,I can not tell,I can not tell,,I could not find it,"teacher for students of class 2A, timeslices 7 and 8","during lunch break, class 1A and 1B hangout with class 2A and 2B .Similarly, class 5A  and B, hangout with 4A and 4b",I could not find it,,I disagree,I agree,I agree,I agree,I agree,I think the doughnut view is quite useful because it gives a visual representation of the different parts ,I think this is good,"Although the video provides some information, it would be best to have some  basic instruction of the page as well. Rather than having to go back to refer to the video every time.",2:00:00 PM,I agree,I agree,22,
3/31/2025 15:30:08,I voluntarily accept to participate in the research mentioned above.,Yes,Between 18 and 24 years old,Nearsightedness,I am doing my Bachelor's Degree,Computer Science,None,None,None,3:00:00 PM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,1768,5,,I could not find it,"teacher for students of class 4B, timeslices 1 and 2","A lot of classes join the communities within these timeslices, there is greater diversity. This is mentioned during the video introduction.",1668,"It appears there might be slightly greater amount of interaction between the classes (not so much the grades) before lunch, compared to after lunch. The pie charts at each timeslice make it easier to notice, as there are more ""solid donuts"" with only a teacher in the right-side slices.",I agree,I agree,I strongly agree,I strongly agree,I agree,The donut piecharts combined with coloring of the different classes.,"I'm not sure. I did notice that I had to constantly look up the legend to realize which class is which when answering the questions and consulting the global view, but I do not have suggestions.",,3:30:00 PM,I strongly agree,I agree,30,
3/31/2025 16:28:51,I voluntarily accept to participate in the research mentioned above.,Yes,Between 25 and 34 years old,I am not aware of any,I am doing my PhD,Informatics,Intermediate,Intermediate,Intermediate,3:58:00 PM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,1768,1,,I could not find it,"teacher for students of class 2A, timeslices 7 and 8",They mingle and mix a lot ,1653,,I can't say,I agree,I agree,I agree,I agree,The donut charts that depict the mixure ,"The distinctions between grades and classes get confusing at times. Also, there should be an indicator showing when is considered after lunch and when is before lunch. Maybe consider renaming communities using other letters, such as Latin alphabet, as it is very easy to confuse classes with communities at times while focused on answering for participants. ","For simplicity, try using easy words while instructing the user on the YouTube video. ",4:28:00 PM,I strongly agree,I disagree,30,
3/31/2025 17:13:57,I voluntarily accept to participate in the research mentioned above.,Yes,Between 35 and 44 years old,I am not aware of any,I am a senior lecturer,Design,Intermediate,Advanced,Intermediate,4:42:00 PM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,1768,1,,1428,"teacher for students of class 4B, timeslices 1 and 2","there are no edges between some communities (B, D-H). Communities C, E, J and H are sharing the lunch among them. There are no interactions among many communities and some communities are dissappearing (I-K)",1668,"With some filters, it could be possible to find time/duration of interactions, the most (in)active student/teacher, etc.",I strongly disagree,I strongly agree,I strongly agree,I can't say,I strongly agree,"Colours, transparency, proximity and links!",Filters to automatise processes,,5:13:00 PM,I strongly agree,I strongly agree,31,
4/1/2025 9:21:11,I voluntarily accept to participate in the research mentioned above.,Yes,Between 18 and 24 years old,I am not aware of any,I am doing my Bachelor's Degree,Computer Science,Basic,Basic,None,9:09:00 AM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,1768,1,,1428,"teacher for students of class 4B, timeslices 1 and 2",not really,1653,,I strongly agree,I strongly agree,I agree,I strongly agree,I strongly agree,"i like the pie charts, made it easy to identify the amount of people and a clear overview",cannot come up with anything ,"When looking for a specific node in the node-link diagram they were all ""spinning"" around that node which made it more difficult to keep track of which nodes you had already looked at since they kept changing positions.",9:21:00 AM,I strongly agree,I strongly agree,12,
4/1/2025 10:12:49,I voluntarily accept to participate in the research mentioned above.,Yes,Between 35 and 44 years old,I am not aware of any,I am a university professor,All of above,Intermediate,Advanced,Basic,9:53:00 AM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,1768,1,,I could not find it,"teacher for students of class 4B, timeslices 1 and 2","There is a mix of students during lunch, mixing between classes mostly, but also between grades in a minor way.",1668,,I disagree,I agree,I agree,I agree,I disagree,"The doughnut diagram gives a good overview of the mixture between different group and the size in quite an intuitive way, one can see how groups grow, decrease, intermingle, move.. and patterns are easy to identify.","The doughnut diagram gives a good overview of the mixture between different group and the size in quite an intuitive way, one can see how groups grow, decrease, intermingle, move.. and patterns are easy to identify.","It's a bit unclear how to close the node-link diagram to see  the whole global view again. It is unclear why communities shift after lunch while keeping the same name, for instance the most natural continuation of A after lunch would be E? ",10:12:00 AM,I agree,I disagree,19,
4/1/2025 13:56:23,I voluntarily accept to participate in the research mentioned above.,Yes,Between 25 and 34 years old,Night Blindness,I am doing my Bachelor's Degree,Computer Science,Basic,Intermediate,Basic,1:42:00 PM,I could not find it,,4A,Students from classes 2A and 4B join the community,,1768,5,,1428,I can not tell,No I dont know when is the lunch break,1668,,I can't say,I agree,I can't say,I agree,I agree,Color differentiation,maybe better subclassification based on color,,1:56:00 PM,I can't say,I agree,14,
4/1/2025 15:25:33,I voluntarily accept to participate in the research mentioned above.,Yes,Between 25 and 34 years old,I am not aware of any,I am doing my Bachelor's Degree,Computer Science,None,None,Basic,3:06:00 PM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,1768,1,,1428,"teacher for students of class 4B, timeslices 1 and 2","the teachers all get together and a single student joins them, they probably alone before it since they werent in a community before it",1653,we can see some students get in later and seem to only be there for single time slices. There also seems to be a third place outside of the classrooms since there are 12 slices and only 10 classrooms/teachers,I agree,I agree,I agree,I agree,I agree,the most useful is the global interface as it allows a quick view which can later be refined.,"the global view could be stretched to fill up the full length of the browser ensure a larger view over the whole system and less chance of information getting lost beyond the scroll. another useful feature would be labels for the rows that have a bit more information as the communities are not ordered. (class3B moves from A to E and we don't know if it is arbitrary  or a physical change) another improvement could be to display total number of participants in a group when it is selected ie A,7 could say 22/23 5B are there",,3:25:00 PM,I can't say,I strongly agree,19,
4/1/2025 17:09:22,I voluntarily accept to participate in the research mentioned above.,Yes,Between 25 and 34 years old,I am not aware of any,I am doing my Bachelor's Degree,Computer Science,None,Basic,Basic,4:38:00 PM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,1768,1,,1428,"teacher for students of class 4B, timeslices 1 and 2",There seems to be a pattern where communities with mixed grades tend to group up to some capacity during lunch break. (e.g. A3 has 3B and 3A which also show up during lunch break together),1668,,I agree,I agree,I agree,I strongly agree,I agree,I think the global view is the most impactful in its current state. It is easy to see the charts and what communities look like and what groups belong to the communities.,"Some sort of filtering feature. For example, in my case I had to click each individual node in a community to figure out what node ID was not present in a given time period. Some sort of search functionality that could do some highlights as to which node or community the filter applies to.",,5:09:00 PM,I agree,I strongly agree,31,
4/2/2025 9:19:58,I voluntarily accept to participate in the research mentioned above.,Yes,Between 25 and 34 years old,Color Blindness,I am doing my Bachelor's Degree,Media Technology,Basic,Advanced,Basic,9:07:00 AM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,1768,1,,I could not find it,"teacher for students of class 4B, timeslices 1 and 2",Mixed groups,1668,,I agree,I can't say,I agree,I agree,I can't say,the circle diagrams.,Bigger text for different classes. and node diagram larger to easier see.,Instead of just a label(on hover) Maybe there is possible to have some kind of tooltip box instead. To easier show the information in a larger way. It was pretty hard (to many steps) to find the ID's.,9:19:00 AM,I agree,I agree,12,
4/2/2025 10:27:06,I voluntarily accept to participate in the research mentioned above.,Yes,Between 25 and 34 years old,I am not aware of any,I am doing my Bachelor's Degree,Media Technology,Intermediate,Intermediate,Basic,10:02:00 AM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,1768,5,,I could not find it,"teacher for students of class 4B, timeslices 1 and 2",smaller communities and a mix between classes,1653,if someone is alone,I agree,I agree,I agree,I agree,I agree,the node link diagram,i don't know,,10:26:00 AM,I can't say,I agree,24,
4/2/2025 14:07:02,I voluntarily accept to participate in the research mentioned above.,Yes,Between 18 and 24 years old,I am not aware of any,I am doing my Bachelor's Degree,Computer Science,Basic,Intermediate,Basic,1:35:00 PM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,1768,1,,I could not find it,"teacher for students of class 4B, timeslices 1 and 2","During lunch break, there is very little interaction between the students and their teachers but there is a lot of intermingling between students in different classes.",1653,"During lunch break at cell H, 6: There is an interaction between 5 teacher and a student from 1B
After lunch break at cell F, 7: Class 1A appears to join a lecture with Class 1B and a few students from 3A",I agree,I agree,I strongly disagree,I strongly agree,I strongly agree,"The ability to see how communities are preserved and change over time, highlighting nodes in the Global view","Preserving the grid notation while zooming in to the donut chart (Global view)
Updating the node color in the node-link diagram view during color change for consistency",,2:07:00 PM,I strongly agree,I strongly agree,32,
4/2/2025 14:41:49,I voluntarily accept to participate in the research mentioned above.,Yes,Between 18 and 24 years old,I am not aware of any,I am doing my Bachelor's Degree,Computer Science,None,Basic,Basic,2:24:00 PM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,1768,5,,I could not find it,"teacher for students of class 4B, timeslices 1 and 2","students from the same grade tend to mix more together rather than with other grades. Also, little interaction with teachers",1653,,I agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,How selecting one node in the node link diagram can also show activities in the global diagram,A filter that can specify a grade or timeslice,Very helpful and well done!,2:41:00 PM,I agree,I strongly agree,17,
4/2/2025 17:43:41,I voluntarily accept to participate in the research mentioned above.,Yes,Between 25 and 34 years old,I am not aware of any,I am doing my Bachelor's Degree,Computer Science,Intermediate,Basic,Basic,5:23:00 PM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,1768,1,,I could not find it,"teacher for students of class 4B, timeslices 1 and 2",Yes,1653,We can analyze that students from lower ages tend to create small communities during lunch break. We can conclude the same for older students.  ,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,The Node Link Diagram; it gives us detailed information.,Filter by ID,,5:43:00 PM,I agree,I agree,20,
4/3/2025 10:54:40,I voluntarily accept to participate in the research mentioned above.,Yes,Between 35 and 44 years old,I am not aware of any,I am a university professor,Computer Science,Intermediate,Intermediate,Basic,10:30:00 AM,"(A, 3) line A, timeslice 3",,4B,It is divided into two other communities,,I can not tell,1,,I could not find it,I can not tell,25 nodes,I could not find it,,I disagree,I agree,I disagree,I strongly agree,I can't say,"Interactivity, visual appeal","there should be enough info for the user, like the info appears at side bar etc","it was a  good experience, but i felt difficulty without proper intro of this tool.",10:54:00 AM,I agree,I can't say,24,
4/3/2025 12:25:23,I voluntarily accept to participate in the research mentioned above.,Yes,Between 25 and 34 years old,I am not aware of any,I am in postdoctoral studies,Computer Science,Advanced,Advanced,Intermediate,11:36:00 AM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,1768,1,,1428,"teacher for students of class 4B, timeslices 1 and 2","In timeslice 5, teachers are in D5 but nowhere else, they supervise students from 1A, 4A, 4B, 5A, and 5B. Is this detention? Then in timeslice 6 there are five teachers in H6 supervising only one student. If detention in D5 is excluded then students in classes 5A and 5B generally stay together across lunch break in grid positions C5-C6 and A5-A6 with the exception of one student in position B5/B6.",1653,"Classes 5A and 5B study together before lunch, and during lunch, but they study separately after lunch. This is discovered through the global view.  I used the highlighting feature to look at where teachers are present in which clusters.. Four teachers meet with teacher 1745, and teachers are not present in other communities at grid position 6H. However there are teachers who did not meet with 1745. Teachers in classes 2A and 2B were not present in grid position 6H. This pattern is discovered with the node-link diagram.",I strongly agree,I agree,I strongly agree,I agree,I agree,The global view was the most useful feature because it provides an overview which color codes the students / teachers in each grid position.,"It would be useful to have another view which shows un-clustered individuals, and the total number of individuals in each class / timeslice. It was difficult to see that there were teachers who were not present in grid position 6H, and which teachers were not present. Searching for the student in 5A who was not present after lunch required searching every student. However, students who have gone home could be considered another cluster for this type of analysis. 
